Track 0: 
Track 1: Piano
Time: 00:01:53.875, Note: 61, Velocity: 90
Time: 00:01:54.125, Note: 70, Velocity: 90
Time: 00:01:54.375, Note: 70, Velocity: 90
Time: 00:01:54.875, Note: 66, Velocity: 90
Time: 00:01:55.375, Note: 61, Velocity: 90
Time: 00:01:55.375, Note: 68, Velocity: 90
Time: 00:01:55.875, Note: 65, Velocity: 90
Time: 00:01:56.375, Note: 61, Velocity: 90
Time: 00:01:58.375, Note: 61, Velocity: 90
Time: 00:01:58.875, Note: 65, Velocity: 90
Time: 00:01:59.375, Note: 63, Velocity: 90
Time: 00:02:01.750, Note: 63, Velocity: 90
Time: 00:02:02.250, Note: 61, Velocity: 90
Time: 00:02:02.500, Note: 63, Velocity: 90
Time: 00:02:03.250, Note: 68, Velocity: 90
Time: 00:02:03.250, Note: 61, Velocity: 90
Time: 00:02:04.250, Note: 65, Velocity: 90
Time: 00:02:04.750, Note: 65, Velocity: 90
Time: 00:02:05.000, Note: 65, Velocity: 90
Time: 00:02:05.250, Note: 66, Velocity: 90
Time: 00:02:05.250, Note: 78, Velocity: 90
Time: 00:02:05.250, Note: 63, Velocity: 90
Time: 00:02:06.000, Note: 63, Velocity: 90
Time: 00:02:06.625, Note: 63, Velocity: 90
Time: 00:02:07.000, Note: 63, Velocity: 90
Time: 00:02:07.000, Note: 71, Velocity: 90
Time: 00:02:07.000, Note: 66, Velocity: 90
Time: 00:02:07.625, Note: 66, Velocity: 90
Time: 00:02:07.625, Note: 70, Velocity: 90
Time: 00:02:07.625, Note: 63, Velocity: 90
Time: 00:02:08.875, Note: 65, Velocity: 90
Time: 00:02:09.375, Note: 63, Velocity: 90
Time: 00:02:10.125, Note: 63, Velocity: 90
Time: 00:02:10.375, Note: 61, Velocity: 90
Time: 00:02:11.125, Note: 61, Velocity: 90
Time: 00:02:11.125, Note: 68, Velocity: 90
Time: 00:02:11.875, Note: 65, Velocity: 90
Time: 00:02:12.125, Note: 65, Velocity: 90
Time: 00:02:12.625, Note: 65, Velocity: 90
Time: 00:02:13.125, Note: 63, Velocity: 90
Time: 00:02:13.125, Note: 66, Velocity: 90
Time: 00:02:13.625, Note: 63, Velocity: 90
Time: 00:02:14.125, Note: 63, Velocity: 90
Time: 00:02:14.375, Note: 63, Velocity: 90
Time: 00:02:14.875, Note: 66, Velocity: 90
Time: 00:02:15.375, Note: 63, Velocity: 90
Time: 00:02:18.375, Note: 61, Velocity: 90
Time: 00:02:19.125, Note: 61, Velocity: 90
Time: 00:02:19.125, Note: 68, Velocity: 90
Time: 00:02:19.875, Note: 65, Velocity: 90
Time: 00:02:20.375, Note: 65, Velocity: 90
Time: 00:02:20.625, Note: 65, Velocity: 90
Time: 00:02:21.125, Note: 66, Velocity: 90
Time: 00:02:21.375, Note: 63, Velocity: 90
Time: 00:02:22.125, Note: 63, Velocity: 90
Time: 00:02:22.625, Note: 63, Velocity: 90
Time: 00:02:22.625, Note: 71, Velocity: 90
Time: 00:02:22.625, Note: 66, Velocity: 90
Time: 00:02:23.125, Note: 66, Velocity: 90
Time: 00:02:23.125, Note: 70, Velocity: 90
Time: 00:02:23.125, Note: 63, Velocity: 90
Time: 00:02:25.250, Note: 63, Velocity: 90
Time: 00:02:28.000, Note: 63, Velocity: 90
Time: 00:02:28.250, Note: 61, Velocity: 90
Time: 00:02:30.000, Note: 61, Velocity: 90
Time: 00:02:30.500, Note: 66, Velocity: 90
Time: 00:02:31.000, Note: 70, Velocity: 90
Time: 00:02:31.000, Note: 63, Velocity: 90
Time: 00:02:31.000, Note: 66, Velocity: 90
Time: 00:02:31.000, Note: 75, Velocity: 90
Time: 00:02:31.875, Note: 70, Velocity: 90
Time: 00:02:31.875, Note: 63, Velocity: 90
Time: 00:02:31.875, Note: 78, Velocity: 90
Time: 00:02:32.875, Note: 75, Velocity: 90
Time: 00:02:33.875, Note: 73, Velocity: 90
Time: 00:02:33.875, Note: 85, Velocity: 90
Time: 00:02:34.875, Note: 63, Velocity: 90
Time: 00:02:34.875, Note: 70, Velocity: 90
Time: 00:02:35.875, Note: 63, Velocity: 90
Time: 00:02:35.875, Note: 70, Velocity: 90
Time: 00:02:35.875, Note: 66, Velocity: 90
Time: 00:02:36.875, Note: 75, Velocity: 90
Time: 00:02:37.875, Note: 73, Velocity: 90
Time: 00:02:38.875, Note: 65, Velocity: 90
Time: 00:02:38.875, Note: 68, Velocity: 90
Time: 00:02:38.875, Note: 73, Velocity: 90
Time: 00:02:39.875, Note: 61, Velocity: 90
Time: 00:02:39.875, Note: 65, Velocity: 90
Time: 00:02:39.875, Note: 68, Velocity: 90
Time: 00:02:40.875, Note: 78, Velocity: 90
Time: 00:02:41.875, Note: 65, Velocity: 90
Time: 00:02:43.750, Note: 65, Velocity: 90
Time: 00:02:44.750, Note: 63, Velocity: 90
Time: 00:02:44.750, Note: 66, Velocity: 90
Time: 00:02:45.750, Note: 68, Velocity: 90
Time: 00:02:49.125, Note: 63, Velocity: 90
Time: 00:02:57.500, Note: 63, Velocity: 90
Time: 00:02:57.500, Note: 66, Velocity: 90
Time: 00:02:58.500, Note: 70, Velocity: 90
Time: 00:02:58.500, Note: 66, Velocity: 90
Time: 00:02:58.500, Note: 63, Velocity: 90
Time: 00:03:01.500, Note: 66, Velocity: 90
Time: 00:03:01.500, Note: 75, Velocity: 90
Time: 00:03:02.500, Note: 63, Velocity: 90
Time: 00:03:02.500, Note: 66, Velocity: 90
Time: 00:03:02.500, Note: 70, Velocity: 90
Time: 00:03:03.000, Note: 70, Velocity: 90
Time: 00:03:03.250, Note: 68, Velocity: 90
Time: 00:03:03.500, Note: 70, Velocity: 90
Time: 00:03:03.500, Note: 63, Velocity: 90
Time: 00:03:03.750, Note: 70, Velocity: 90
Time: 00:03:04.000, Note: 70, Velocity: 90
Time: 00:03:04.250, Note: 68, Velocity: 90
Time: 00:03:04.500, Note: 70, Velocity: 90
Time: 00:03:05.000, Note: 75, Velocity: 90
Time: 00:03:05.250, Note: 70, Velocity: 90
Time: 00:03:06.625, Note: 61, Velocity: 90
Time: 00:03:06.625, Note: 66, Velocity: 90
Time: 00:03:06.625, Note: 70, Velocity: 90
Time: 00:03:06.875, Note: 70, Velocity: 90
Time: 00:03:07.125, Note: 70, Velocity: 90
Time: 00:03:07.375, Note: 70, Velocity: 90
Time: 00:03:07.625, Note: 70, Velocity: 90
Time: 00:03:07.625, Note: 61, Velocity: 90
Time: 00:03:07.875, Note: 70, Velocity: 90
Time: 00:03:08.125, Note: 70, Velocity: 90
Time: 00:03:08.375, Note: 70, Velocity: 90
Time: 00:03:08.625, Note: 70, Velocity: 90
Time: 00:03:09.125, Note: 71, Velocity: 90
Time: 00:03:09.375, Note: 70, Velocity: 90
Time: 00:03:10.000, Note: 66, Velocity: 90
Time: 00:03:10.500, Note: 68, Velocity: 90
Time: 00:03:11.000, Note: 65, Velocity: 90
Time: 00:03:11.500, Note: 61, Velocity: 90
Time: 00:03:13.500, Note: 65, Velocity: 90
Time: 00:03:13.500, Note: 61, Velocity: 90
Time: 00:03:14.500, Note: 63, Velocity: 90
Time: 00:03:16.375, Note: 63, Velocity: 90
Time: 00:03:16.625, Note: 65, Velocity: 90
Time: 00:03:16.875, Note: 66, Velocity: 90
Time: 00:03:16.875, Note: 78, Velocity: 90
Time: 00:03:17.125, Note: 68, Velocity: 90
Time: 00:03:17.375, Note: 63, Velocity: 90
